Comuna,No pobres,Quintil_Pobreza
Santiago,96.13521882783677,Q4
Cerrillos,94.77129888224292,Q3
Cerro Navia,93.986466197491,Q2
Conchalí,93.92005279063079,Q2
El Bosque,93.80176274087542,Q2
Estación Central,94.95760384045808,Q3
Huechuraba,95.72344279148665,Q4
Independencia,94.16601691793048,Q2
La Cisterna,95.90768714228726,Q4
La Florida,96.47009699571043,Q4
La Granja,93.9698320399163,Q2
La Pintana,90.70615681388838,Q1 (más desaventajado)
La Reina,98.3972882527961,Q5 (más aventajado)
Las Condes,99.09067477808178,Q5 (más aventajado)
Lo Barnechea,99.09716867503235,Q5 (más aventajado)
Lo Espejo,93.2183052070235,Q1 (más desaventajado)
Lo Prado,94.67331526205096,Q3
Macul,96.52526453909388,Q4
Maipú,96.74875926021824,Q5 (más aventajado)
Ñuñoa,98.51115604516862,Q5 (más aventajado)
Pedro Aguirre Cerda,94.5268271177465,Q2
Peñalolén,96.7583286676982,Q5 (más aventajado)
Providencia,98.6780925451793,Q5 (más aventajado)
Pudahuel,95.63395056291607,Q4
Quilicura,94.77770964212213,Q3
Quinta Normal,97.85069373746666,Q5 (más aventajado)
Recoleta,94.86092446617074,Q3
Renca,94.74001875490242,Q3
San Joaquín,95.16046522712035,Q3
San Miguel,97.82728613600078,Q5 (más aventajado)
San Ramón,93.11787364802431,Q1 (más desaventajado)
Vitacura,99.10895376505815,Q5 (más aventajado)
Puente Alto,94.9624080085545,Q3
Pirque,97.25683572000517,Q5 (más aventajado)
San José de Maipo,95.3104014328859,Q4
Colina,94.89118433740437,Q3
Lampa,95.05204765174747,Q3
Tiltil,93.94301571387679,Q2
San Bernardo,94.0135069656598,Q2
Buin,95.55278857198057,Q4
Calera de Tango,96.51542277763016,Q4
Paine,94.13482783157612,Q2
Melipilla,92.42824086933891,Q1 (más desaventajado)
Alhué,90.38784308821491,Q1 (más desaventajado)
Curacaví,94.00354103728294,Q2
María Pinto,92.68627576848108,Q1 (más desaventajado)
San Pedro,85.90370465823658,Q1 (más desaventajado)
Talagante,93.73952709907306,Q1 (más desaventajado)
El Monte,92.92349491794634,Q1 (más desaventajado)
Isla de Maipo,93.57851328839284,Q1 (más desaventajado)
Padre Hurtado,96.3444150778937,Q4
Peñaflor,92.6713905236553,Q1 (más desaventajado)
